Loan number,int_rate,loan_amnt,term (months),installment,dti,delinq_2yrs,annual_inc,grade,emp_title,emp_length,home_ownership,verification_status,issue_d
30,0.1099,5500,60,120,22.56,0,34200,B,,5 years,MORTGAGE,Verified,05/01/2011
31,0.1528,8000,60,191,9.08,0,46500,D,,10+ years,MORTGAGE,Not Verified,04/01/2011
32,0.1074,8000,36,261,17.56,1,30000,B,,6 years,RENT,Not Verified,04/01/2011
33,0.1186,9000,36,298,19.86,0,33600,B,,7 years,RENT,Source Verified,08/01/2010
34,0.0617,15000,60,291,9.06,0,45943,A,,10+ years,MORTGAGE,Verified,10/01/2010
35,0.1229,16000,36,534,3.07,2,112500,C,,1 year,RENT,Not Verified,04/01/2008
36,0.089,15950,60,330,2.7,1,85200,A,,4 years,MORTGAGE,Not Verified,09/01/2011
37,0.0766,9600,36,299,19,0,53000,A,,2 years,RENT,Not Verified,03/01/2011
38,0.1749,5000,36,179,11.68,4,78400,D,,2 years,MORTGAGE,Source Verified,08/01/2011
39,0.1099,15000,36,491,23.87,0,64999.92,B,,10+ years,MORTGAGE,Verified,07/01/2011
40,0.1218,24250,36,808,10.39,0,144600,B,,10+ years,RENT,Verified,10/01/2009
41,0.1349,2000,36,68,3.47,0,25209.6,C,,6 years,RENT,Source Verified,10/01/2011
42,0.1568,9600,36,336,14.1,2,40000,E,,3 years,OTHER,Not Verified,04/01/2009
43,0.1075,10000,60,216,7.49,0,84000,B,,10+ years,MORTGAGE,Not Verified,10/01/2010
44,0.0859,4800,36,152,22.5,0,27040,A,,< 1 year,MORTGAGE,Not Verified,10/01/2009
45,0.1596,18000,60,437,14.29,0,114000,C,,10+ years,MORTGAGE,Verified,10/01/2011
46,0.0832,7500,36,236,13.64,0,44875,A,,< 1 year,RENT,Not Verified,08/01/2008
47,0.1969,13500,60,355,15.08,0,32000,E,,10+ years,RENT,Not Verified,08/01/2011
48,0.0751,10000,60,200,17.58,0,61152,A,,5 years,RENT,Not Verified,05/01/2010
49,0.0542,11000,36,332,6.19,0,43200,A,,7 years,MORTGAGE,Verified,12/01/2010
50,0.1186,25000,60,554,11.39,0,90000,B,,10+ years,MORTGAGE,Verified,10/01/2010
51,0.1189,19400,36,643,15.44,0,105996,B,,< 1 year,MORTGAGE,Verified,06/01/2009
52,0.1114,13200,36,433,7.62,0,125000,B,,7 years,OWN,Not Verified,12/01/2009
53,0.1523,15000,36,522,17.38,1,38400,C,,7 years,MORTGAGE,Source Verified,07/01/2011
54,0.1268,6000,60,136,5.7,0,24000,C,,2 years,RENT,Source Verified,03/01/2011
55,0.1261,5000,36,168,16.6,3,85000,C,,10+ years,MORTGAGE,Source Verified,11/01/2010
56,0.1096,7500,36,245,7.16,0,36684,B,,< 1 year,RENT,Not Verified,10/01/2008
57,0.1099,5600,36,183,16.07,0,66000,B,,3 years,OWN,Not Verified,05/01/2011
58,0.1112,4000,60,87,1.63,0,24000,B,,1 year,MORTGAGE,Source Verified,07/01/2010
59,0.0699,14000,36,432,12.27,0,71000,A,,10+ years,MORTGAGE,Not Verified,06/01/2011
60,0.1349,7500,36,254,9.58,0,145900,D,,10+ years,MORTGAGE,Verified,10/01/2008
61,0.1269,5200,36,174,20.97,0,55684,B,,10+ years,MORTGAGE,Source Verified,11/01/2011
62,0.1479,3600,60,85,17.68,1,64668,C,,10+ years,RENT,Not Verified,09/01/2011
63,0.1629,10000,36,353,5.76,0,35000,D,,10+ years,RENT,Source Verified,11/01/2011
64,0.2025,35000,60,932,17.6,0,92000,F,,10+ years,RENT,Verified,08/01/2011
65,0.1299,2125,36,72,8.14,0,46000,C,,4 years,MORTGAGE,Source Verified,07/01/2011
66,0.0859,9800,36,310,14.99,0,43000,A,,3 years,MORTGAGE,Not Verified,01/01/2010
67,0.0751,9000,36,280,4.98,0,40000,A,,10+ years,MORTGAGE,Not Verified,03/01/2010
68,0.0692,7000,36,216,26.51,0,29736,A,,4 years,RENT,Not Verified,03/01/2011
69,0.1749,12000,60,301,16.56,0,50000,D,,8 years,MORTGAGE,Source Verified,06/01/2011
70,0.0729,12000,36,372,5.71,0,69600,A,,6 years,RENT,Verified,04/01/2011
71,0.0894,9600,36,305,18.41,1,53000,A,,9 years,OWN,Not Verified,12/01/2009
72,0.1398,10750,60,250,17.95,0,25000,C,,10+ years,OWN,Source Verified,07/01/2010
73,0.1596,11000,36,387,24.18,0,53000,C,,10+ years,MORTGAGE,Verified,10/01/2011
74,0.1357,12000,36,408,5.51,0,170000,C,,< 1 year,MORTGAGE,Verified,10/01/2009
75,0.0542,3200,36,97,6.51,0,63996,A,,10+ years,MORTGAGE,Not Verified,09/01/2011
76,0.1099,1000,36,33,14.76,0,60000,B,,10+ years,OWN,Not Verified,09/01/2011
77,0.1599,8000,60,195,19,0,65000,D,,< 1 year,RENT,Source Verified,05/01/2011
78,0.1484,7500,36,259,10.25,0,55000,D,,3 years,MORTGAGE,Not Verified,07/01/2010
79,0.1335,25000,60,573,12.74,0,63600,C,,4 years,RENT,Verified,12/01/2010
80,0.1357,10000,36,340,8.75,0,45000,C,,10+ years,MORTGAGE,Not Verified,10/01/2009
81,0.1269,9175,36,308,19.03,0,28500,B,,< 1 year,RENT,Source Verified,12/01/2011
82,0.0603,12000,36,365,16.31,0,240000,A,,10+ years,MORTGAGE,Source Verified,10/01/2011
83,0.1756,9500,60,239,19.3,0,96000,E,,4 years,MORTGAGE,Verified,10/01/2010
84,0.1311,5500,36,186,20.89,0,34000,C,,1 year,RENT,Source Verified,04/01/2010
85,0.178,3000,36,108,16.01,0,23004,F,,6 years,RENT,Source Verified,12/01/2010
86,0.1095,9000,36,294,12.78,0,88000,B,,5 years,RENT,Source Verified,12/01/2008
87,0.1677,10000,36,355,12.9,0,44000,D,,10+ years,RENT,Not Verified,11/01/2011
88,0.0988,6900,36,222,16.81,0,47480,B,,10+ years,RENT,Not Verified,02/01/2010
89,0.1074,4800,60,104,6.77,0,125000,B,,9 years,RENT,Source Verified,04/01/2011
90,0.1682,6000,60,149,6.76,0,16320,E,,< 1 year,RENT,Not Verified,07/01/2010
91,0.0699,18000,36,556,20.77,0,153600,A,,1 year,MORTGAGE,Verified,07/01/2011
92,0.1186,3600,36,119,10.28,2,39000,B,,3 years,OWN,Source Verified,07/01/2010
93,0.1171,25000,60,552,6.76,0,60000,B,,< 1 year,RENT,Verified,12/01/2011
94,0.1171,16500,60,365,5.81,0,38400,B,,6 years,RENT,Verified,11/01/2011
95,0.1349,25000,60,575,14.15,0,67000,C,,10+ years,MORTGAGE,Verified,12/01/2011
96,0.1411,15000,36,513,15.99,0,73700,D,,10+ years,MORTGAGE,Not Verified,12/01/2008
97,0.1521,12000,36,417,6.78,0,82000,D,,4 years,RENT,Verified,06/01/2010
98,0.0999,10000,36,323,9.82,0,96000,B,,3 years,OWN,Verified,06/01/2011
99,0.1521,4000,60,96,15.34,0,50000,D,,10+ years,MORTGAGE,Not Verified,07/01/2010
100,0.0999,15000,36,484,21.64,0,65000,B,,10+ years,MORTGAGE,Verified,09/01/2011
101,0.1189,3500,36,116,11.68,0,30000,B,,2 years,RENT,Not Verified,03/01/2009
102,0.1273,6500,60,147,10.01,0,90000,C,,10+ years,MORTGAGE,Verified,05/01/2010
103,0.183,25000,36,908,15.2,1,116000,F,,10+ years,MORTGAGE,Not Verified,05/01/2010
104,0.1268,1200,36,40,16.88,0,48000,C,,4 years,RENT,Source Verified,03/01/2011
105,0.1171,20000,60,442,6.11,0,45000,B,,7 years,MORTGAGE,Verified,12/01/2011
106,0.1727,35000,60,875,16.52,0,97500,D,,9 years,MORTGAGE,Source Verified,11/01/2011
107,0.1038,6250,60,134,3.55,0,43596,B,,10+ years,MORTGAGE,Not Verified,08/01/2010
108,0.1562,3750,36,131,7.95,2,480000,D,,10+ years,MORTGAGE,Source Verified,08/01/2011
109,0.0676,2000,36,62,4.75,0,48255,A,,3 years,RENT,Source Verified,08/01/2010
110,0.1527,10400,36,362,19.58,0,38004,C,,10+ years,RENT,Not Verified,12/01/2011
111,0.1261,4500,60,101,23.25,0,40000,C,,7 years,RENT,Source Verified,11/01/2010
112,0.079,3000,36,94,19.39,0,45000,A,,4 years,RENT,Not Verified,12/01/2011
113,0.1422,2800,36,96,19.9,0,21168,C,,3 years,RENT,Not Verified,04/01/2010
114,0.0542,3500,36,106,0.81,0,108000,A,,n/a,OWN,Not Verified,05/01/2011
115,0.1253,5000,36,167,11.04,0,20004,B,,< 1 year,RENT,Not Verified,08/01/2009
116,0.1065,9000,36,293,19.76,0,24600,B,,8 years,RENT,Not Verified,12/01/2011
117,0.1649,9000,36,319,24.78,0,82000,D,,10+ years,MORTGAGE,Verified,08/01/2011
118,0.1171,25000,36,827,6.88,0,100000,B,,10+ years,MORTGAGE,Verified,12/01/2011
119,0.1629,12000,36,424,1.96,0,81000,D,,5 years,RENT,Not Verified,10/01/2011
120,0.1148,14500,36,478,16.77,0,45000,B,,5 years,MORTGAGE,Not Verified,01/01/2010
121,0.1083,1600,36,52,5.36,1,29124,B,,3 years,RENT,Not Verified,11/01/2008
122,0.079,2000,36,63,21.23,0,93000,A,,5 years,MORTGAGE,Not Verified,10/01/2011
123,0.1025,18250,36,591,19.13,1,34000,B,,< 1 year,RENT,Not Verified,03/01/2010
124,0.1465,5850,36,202,23.59,0,38000,C,,1 year,RENT,Verified,12/01/2011
125,0.1531,25000,36,870,20.45,0,70000,D,,10+ years,MORTGAGE,Verified,10/01/2009
126,0.0888,5000,36,159,15.27,1,72467,B,,2 years,RENT,Source Verified,12/01/2010
127,0.1749,15000,60,377,19.55,0,52000,D,,10+ years,MORTGAGE,Verified,05/01/2011
128,0.0963,1200,36,39,16.67,0,57000,A,,2 years,MORTGAGE,Verified,05/01/2009
129,0.1349,2500,36,85,24.31,0,43000,C,,5 years,MORTGAGE,Not Verified,07/01/2011
130,0.0988,8500,36,274,0.41,0,55000,B,,5 years,RENT,Not Verified,03/01/2010
131,0.0751,5500,36,171,20.39,0,34656,A,,2 years,OWN,Not Verified,02/01/2010
132,0.1645,24000,60,589,23.75,0,88100,E,,6 years,MORTGAGE,Verified,06/01/2010
133,0.0617,3300,36,101,24.56,0,19200,A,,10+ years,OWN,Source Verified,12/01/2010
134,0.1372,6000,36,204,19.78,0,68000,C,,2 years,MORTGAGE,Not Verified,11/01/2010
135,0.1065,5000,36,163,22.75,0,28800,B,,2 years,RENT,Not Verified,10/01/2011
136,0.1991,29700,60,785,24.29,1,62000,E,,n/a,MORTGAGE,Verified,10/01/2011
137,0.1459,8000,36,276,8.39,0,38918.4,D,,5 years,RENT,Not Verified,05/01/2010
138,0.2089,23200,60,626,23.37,0,125000,F,,10+ years,MORTGAGE,Source Verified,11/01/2011
139,0.1095,15000,36,491,5.7,0,65000,B,,2 years,MORTGAGE,Verified,05/01/2009
140,0.1323,16000,60,366,21.35,0,97000,C,,7 years,MORTGAGE,Source Verified,06/01/2010
141,0.1036,9000,36,292,14.73,0,36000,B,,10+ years,MORTGAGE,Not Verified,12/01/2010
142,0.1799,17000,60,432,1.51,0,85000,E,,6 years,MORTGAGE,Source Verified,07/01/2011
143,0.1149,10800,60,237,15.47,0,65000,B,,9 years,MORTGAGE,Not Verified,08/01/2010
144,0.0925,25000,36,798,5.1,0,85000,B,,10+ years,MORTGAGE,Verified,11/01/2010
145,0.0751,6000,36,187,3.91,0,82000,A,,2 years,MORTGAGE,Source Verified,10/01/2011
146,0.1038,9000,36,292,14.49,0,108000,B,,3 years,MORTGAGE,Not Verified,06/01/2010
147,0.1189,8400,36,279,10.78,0,160000,B,,< 1 year,RENT,Verified,06/01/2009
148,0.0991,2400,36,77,18.78,0,46000,B,,< 1 year,RENT,Not Verified,11/01/2011
149,0.1595,25000,36,878,13.66,0,74872,D,,2 years,RENT,Verified,09/01/2010
150,0.0749,2650,36,82,21.11,0,17795,A,,4 years,OWN,Not Verified,06/01/2011
151,0.1649,8000,36,283,17.22,0,65004,D,,< 1 year,RENT,Verified,07/01/2011
152,0.1059,4500,36,146,10.91,0,42000,B,,1 year,MORTGAGE,Source Verified,06/01/2011
153,0.0617,16800,36,512,18.89,0,43200,A,,3 years,MORTGAGE,Not Verified,01/01/2011
154,0.1879,25500,60,659,18.02,1,51000,E,,10+ years,RENT,Verified,06/01/2011
155,0.0962,3000,36,96,17.8,0,12000,B,,n/a,OWN,Source Verified,01/01/2011
156,0.1825,9750,36,354,11.57,0,25000,D,,n/a,RENT,Verified,10/01/2011
157,0.1051,10000,36,325,21.12,0,84996,B,,10+ years,RENT,Not Verified,11/01/2008
158,0.1149,12000,60,264,13.93,0,40560,B,,5 years,RENT,Not Verified,05/01/2011
159,0.1879,9250,60,239,19.27,0,53376,E,,10+ years,MORTGAGE,Source Verified,05/01/2011
160,0.079,3000,36,94,2.76,0,10000,A,,10+ years,RENT,Not Verified,11/01/2011
161,0.0662,14000,36,430,9.42,0,150000,A,,10+ years,MORTGAGE,Verified,11/01/2011
162,0.1148,20000,36,659,7.23,0,105000,B,,5 years,MORTGAGE,Verified,08/01/2009
163,0.1099,4000,36,131,2.05,1,96000,B,,10+ years,MORTGAGE,Source Verified,05/01/2011
164,0.1602,5400,36,190,9.3,1,25300,D,,2 years,RENT,Not Verified,04/01/2011
165,0.1099,15200,60,330,11.59,0,50000,B,,6 years,MORTGAGE,Not Verified,05/01/2011
166,0.1677,12000,36,426,14.29,0,44004,D,,< 1 year,MORTGAGE,Verified,09/01/2011
167,0.0962,24000,60,505,17.41,0,92341,B,,9 years,RENT,Verified,11/01/2010
168,0.079,2300,36,72,12.76,0,109200,A,,10+ years,MORTGAGE,Source Verified,11/01/2011
169,0.1409,6000,36,205,14.77,0,55000,D,,2 years,RENT,Not Verified,12/01/2010
170,0.1074,15000,36,489,23.92,0,76000,B,,3 years,RENT,Verified,02/01/2011
171,0.1268,5000,36,168,10.83,0,95400,C,,8 years,MORTGAGE,Not Verified,04/01/2011
172,0.1398,7700,60,179,13.05,0,73000,C,,10+ years,RENT,Source Verified,09/01/2010
173,0.1186,15000,36,497,10.06,0,60000,B,,2 years,MORTGAGE,Source Verified,07/01/2010
174,0.0705,11500,36,355,16.38,0,74500,A,,1 year,RENT,Not Verified,01/01/2010
175,0.1037,10000,36,324,16.41,0,38832,B,,< 1 year,RENT,Source Verified,04/01/2011
176,0.0699,9800,36,303,21.2,0,56500,A,,9 years,MORTGAGE,Source Verified,08/01/2011
177,0.1599,15000,36,527,9.13,0,100000,D,,2 years,MORTGAGE,Source Verified,06/01/2011
178,0.1349,3600,36,122,14.48,0,43000,C,,6 years,MORTGAGE,Source Verified,09/01/2011
179,0.1059,25000,36,814,20.1,0,61080,B,,10+ years,MORTGAGE,Verified,06/01/2011
180,0.1287,4500,36,151,19.78,0,35000,C,,1 year,RENT,Not Verified,08/01/2009
181,0.1749,25000,36,897,22.89,0,67100,D,,4 years,MORTGAGE,Verified,06/01/2011
182,0.1523,13100,60,313,17.43,0,78000,C,,2 years,MORTGAGE,Source Verified,05/01/2011
183,0.0749,1200,36,37,20.96,0,74000,A,,1 year,MORTGAGE,Source Verified,07/01/2011
184,0.08,5750,36,180,2.59,0,70000,A,,1 year,RENT,Source Verified,01/01/2009
185,0.1065,5375,36,175,17.69,0,42000,B,,5 years,MORTGAGE,Source Verified,12/01/2011
186,0.079,15000,60,303,7.39,0,45000,A,,10+ years,MORTGAGE,Verified,11/01/2011
187,0.1599,8400,36,295,5.06,1,120000,D,,10+ years,MORTGAGE,Source Verified,08/01/2011
188,0.079,13225,60,268,26.88,0,30000,A,,7 years,MORTGAGE,Verified,10/01/2011
189,0.102,7200,36,233,11.36,0,73200,B,,1 year,MORTGAGE,Source Verified,12/01/2008
190,0.0599,10000,36,304,5.12,1,100000,A,,3 years,MORTGAGE,Source Verified,06/01/2011
191,0.1171,20000,36,662,9.58,0,65000,B,,4 years,MORTGAGE,Verified,12/01/2011
192,0.1269,23000,60,520,29.83,0,80000,B,,10+ years,MORTGAGE,Verified,12/01/2011
193,0.1036,15000,60,321,7.34,0,43000,B,,1 year,RENT,Not Verified,12/01/2010
194,0.1114,10000,36,328,21.92,0,41004,B,,2 years,RENT,Verified,11/01/2008
195,0.1189,6500,36,216,23.88,0,40000,B,,1 year,RENT,Source Verified,02/01/2009
196,0.1427,5000,36,172,7.95,0,35000,C,,3 years,OWN,Not Verified,11/01/2011
197,0.1527,22475,60,538,15.23,0,52000,C,,7 years,MORTGAGE,Verified,12/01/2011
198,0.1062,11200,36,365,15.92,0,41600,B,,2 years,RENT,Not Verified,02/01/2010
199,0.1083,6600,36,216,17.87,0,72000,B,,< 1 year,MORTGAGE,Verified,10/01/2008
200,0.1527,15000,60,359,18.98,0,38000,C,,8 years,RENT,Not Verified,12/01/2011
201,0.0894,11000,36,349,22.38,0,50400,A,,7 years,MORTGAGE,Not Verified,11/01/2009
202,0.1465,8000,36,276,18.36,1,33000,C,,10+ years,RENT,Source Verified,11/01/2011
203,0.1411,13000,36,445,19.03,0,64000,D,,7 years,RENT,Source Verified,05/01/2009
204,0.1114,4800,36,157,23.66,0,35000,B,,10+ years,RENT,Not Verified,08/01/2009
205,0.089,15000,36,476,6.48,0,30000,A,,5 years,MORTGAGE,Verified,12/01/2011
206,0.0963,15000,36,481,11.57,0,39000,A,,< 1 year,RENT,Verified,01/01/2009
207,0.1749,7500,36,269,19.89,0,140000,D,,< 1 year,RENT,Not Verified,05/01/2011
208,0.1099,15200,36,498,8.56,0,51000,B,,3 years,MORTGAGE,Not Verified,01/01/2010
209,0.1059,12000,60,258,16.81,0,22063.8,B,,n/a,MORTGAGE,Not Verified,07/01/2011
210,0.1969,30000,60,790,13.13,0,137170,E,,2 years,MORTGAGE,Verified,05/01/2011
211,0.1149,1800,36,59,11.63,0,48000,B,,4 years,RENT,Not Verified,05/01/2011
212,0.1059,5000,36,163,11.45,1,24000,B,,10+ years,RENT,Not Verified,07/01/2011
213,0.1461,1500,36,52,6.44,0,30000,D,,< 1 year,RENT,Not Verified,12/01/2009
214,0.0603,9200,36,280,5.47,0,72996,A,,10+ years,MORTGAGE,Not Verified,10/01/2011
215,0.1528,24000,60,574,18.25,0,92000,D,,4 years,OWN,Verified,03/01/2011
216,0.0991,12000,36,387,18.32,0,60000,B,,7 years,RENT,Verified,10/01/2011
217,0.0999,4600,36,148,3.14,0,73000,B,,2 years,RENT,Source Verified,06/01/2011
218,0.0714,4000,36,124,21.09,0,45000,A,,7 years,MORTGAGE,Verified,09/01/2010
219,0.1349,8000,36,271,18.85,0,75000,C,,2 years,RENT,Source Verified,09/01/2011
220,0.1037,18225,36,591,13.07,0,120000,B,,10+ years,MORTGAGE,Verified,04/01/2011
221,0.1347,3000,36,102,7.08,0,48000,C,,< 1 year,RENT,Not Verified,05/01/2009
222,0.0691,2500,36,77,7.28,0,46000,A,,< 1 year,RENT,Not Verified,12/01/2010
223,0.1136,5000,36,165,10.47,0,47233,B,,9 years,RENT,Verified,03/01/2010
224,0.0963,1500,36,48,22.04,0,30000,B,,n/a,RENT,Source Verified,02/01/2011
225,0.1186,3500,36,116,6.69,0,42500,B,,< 1 year,RENT,Not Verified,08/01/2010
226,0.1065,6200,36,202,4.01,0,58000,B,,6 years,OWN,Source Verified,10/01/2011
227,0.0751,4200,36,131,3.74,0,52000,A,,10+ years,RENT,Source Verified,10/01/2011
228,0.1199,10000,36,332,16.57,0,47000,B,,5 years,RENT,Not Verified,07/01/2011
229,0.0751,6000,36,187,29.35,0,32468.8,A,,10+ years,MORTGAGE,Not Verified,11/01/2011
230,0.1558,4200,36,147,4.71,0,66996,D,,2 years,RENT,Not Verified,08/01/2010
231,0.1299,4500,36,152,12.65,1,24000,C,,3 years,OWN,Source Verified,08/01/2011
232,0.1186,8000,36,265,8.13,0,35000,B,,2 years,MORTGAGE,Not Verified,08/01/2010
233,0.1242,15000,60,337,19.09,0,113000,B,,9 years,MORTGAGE,Source Verified,10/01/2011
234,0.1218,7500,36,250,13.02,0,36320,B,,2 years,RENT,Not Verified,11/01/2009
235,0.1025,25000,36,810,17.62,0,110000,B,,10+ years,MORTGAGE,Not Verified,03/01/2010
236,0.2352,30000,60,855,8.54,0,110000,G,,3 years,RENT,Verified,12/01/2011
237,0.1075,12000,36,391,20.25,0,33000,B,,3 years,RENT,Not Verified,07/01/2010
238,0.1422,10000,36,343,17.22,0,34000,C,,7 years,RENT,Not Verified,03/01/2010
239,0.0691,20000,36,617,1.53,0,102996,A,,3 years,MORTGAGE,Verified,01/01/2011
240,0.0988,15000,36,483,10.65,0,32000,B,,9 years,RENT,Not Verified,05/01/2010
241,0.0962,12000,60,253,17.97,0,42000,B,,n/a,OWN,Not Verified,12/01/2010
242,0.1399,11200,36,383,14.9,0,75000,C,,4 years,MORTGAGE,Verified,07/01/2011
243,0.0999,15000,36,484,11.13,1,48000,B,,7 years,OWN,Source Verified,09/01/2011
244,0.1316,15000,36,507,4.06,2,150000,C,,5 years,MORTGAGE,Verified,01/01/2009
245,0.1719,3000,60,75,0,1,540000,E,,10+ years,MORTGAGE,Source Verified,06/01/2010
246,0.0999,14500,60,308,11.88,0,98000,B,,10+ years,MORTGAGE,Source Verified,08/01/2011
247,0.0542,5000,36,151,2.18,0,79200,A,,10+ years,MORTGAGE,Not Verified,06/01/2011
248,0.1075,5000,60,108,20.68,0,65000,B,,3 years,MORTGAGE,Verified,09/01/2010
249,0.0714,7200,36,223,13.09,0,22000,A,,10+ years,MORTGAGE,Not Verified,08/01/2010
250,0.1929,16200,60,423,19.86,0,38000,E,,2 years,MORTGAGE,Verified,06/01/2011
251,0.0542,4000,36,121,5.89,0,120000,A,,7 years,MORTGAGE,Verified,11/01/2010
252,0.0662,30000,36,921,18.65,0,89028,A,,< 1 year,RENT,Verified,11/01/2011
253,0.1523,2000,36,70,21.24,0,93000,C,,3 years,MORTGAGE,Not Verified,06/01/2011
254,0.0888,6000,36,190,16.6,1,53000,B,,5 years,MORTGAGE,Source Verified,01/01/2011
255,0.1599,12000,36,422,5.43,0,50400,D,,2 years,RENT,Source Verified,08/01/2011
256,0.0542,4000,36,121,15.65,0,50000,A,,8 years,MORTGAGE,Source Verified,07/01/2011
257,0.1645,4000,36,142,16.88,0,39456,E,,2 years,RENT,Not Verified,01/01/2010
258,0.1149,14700,60,323,9.63,0,108000,B,,10+ years,MORTGAGE,Verified,06/01/2011
259,0.0751,8250,36,257,28.05,0,43000,A,,3 years,MORTGAGE,Not Verified,10/01/2011
260,0.0692,12000,36,370,10.88,0,72000,A,,5 years,MORTGAGE,Not Verified,02/01/2011
261,0.138,9000,60,208,12.41,0,37236.96,C,,3 years,MORTGAGE,Not Verified,03/01/2011
262,0.1099,9600,36,314,23.79,0,46000,B,,< 1 year,RENT,Not Verified,08/01/2011
263,0.0729,9600,36,298,9.66,0,72576,A,,7 years,RENT,Not Verified,04/01/2011
264,0.1523,12000,36,417,0.46,1,42000,C,,10+ years,MORTGAGE,Source Verified,06/01/2011
265,0.079,19500,36,610,13.78,0,70000,A,,10+ years,MORTGAGE,Source Verified,10/01/2011
266,0.1677,30000,60,742,19.27,0,65000,E,,4 years,RENT,Verified,04/01/2011
267,0.1099,5500,36,180,21.59,0,20400,B,,5 years,MORTGAGE,Not Verified,09/01/2011
268,0.1758,4800,60,121,9.83,0,26000,D,,< 1 year,OWN,Source Verified,11/01/2011
269,0.1483,25000,36,865,6.24,1,146000,D,,2 years,MORTGAGE,Verified,11/01/2010
270,0.0617,20000,36,610,5.06,0,60000,A,,10+ years,OWN,Verified,12/01/2010
271,0.089,11500,36,365,18.52,0,55000,A,,6 years,MORTGAGE,Verified,11/01/2011
272,0.1793,18000,36,650,13.03,2,180000,E,,2 years,RENT,Verified,04/01/2010
273,0.1349,26000,60,598,15.67,0,70446.2,C,,1 year,RENT,Source Verified,05/01/2011
274,0.1287,6000,36,202,6.58,2,43200,C,,10+ years,MORTGAGE,Source Verified,06/01/2011
275,0.1793,15000,60,380,8.06,0,150000,E,,7 years,RENT,Source Verified,08/01/2010
276,0.0768,1000,36,31,2.82,0,85000,A,,< 1 year,OTHER,Not Verified,02/01/2009
277,0.1323,1000,36,34,14.51,0,75000,C,,< 1 year,RENT,Not Verified,09/01/2010
278,0.1435,17000,36,584,15.48,0,103000,C,,10+ years,MORTGAGE,Verified,10/01/2010
279,0.0662,10000,36,307,9.41,0,100000,A,,10+ years,MORTGAGE,Not Verified,10/01/2011
280,0.1649,25000,60,614,15.82,0,98000,D,,10+ years,MORTGAGE,Verified,09/01/2011
281,0.1322,21000,36,710,20.59,0,70224,C,,1 year,MORTGAGE,Not Verified,10/01/2009
282,0.2174,20000,60,549,18.78,1,82812,F,,10+ years,MORTGAGE,Verified,08/01/2011
283,0.0932,10000,36,319,1.78,0,60000,A,,6 years,RENT,Not Verified,01/01/2009
